index,timestamp,respondent,respondent-name,type,type-name,load_mw,value-units,hour,dayofweek,month,year
64,2023-01-01 16:00:00,PJM,"PJM Interconnection, LLC",D,Demand,75226,megawatthours,16,6,1,2023
65,2023-01-01 16:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79308,megawatthours,16,6,1,2023
66,2023-01-01 16:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,78491,megawatthours,16,6,1,2023
67,2023-01-01 16:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3265,megawatthours,16,6,1,2023
68,2023-01-01 17:00:00,PJM,"PJM Interconnection, LLC",D,Demand,75644,megawatthours,17,6,1,2023
69,2023-01-01 17:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79277,megawatthours,17,6,1,2023
70,2023-01-01 17:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,79633,megawatthours,17,6,1,2023
71,2023-01-01 17:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3988,megawatthours,17,6,1,2023
72,2023-01-01 18:00:00,PJM,"PJM Interconnection, LLC",D,Demand,76077,megawatthours,18,6,1,2023
73,2023-01-01 18:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79045,megawatthours,18,6,1,2023
74,2023-01-01 18:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,80365,megawatthours,18,6,1,2023
75,2023-01-01 18:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4289,megawatthours,18,6,1,2023
76,2023-01-01 19:00:00,PJM,"PJM Interconnection, LLC",D,Demand,76061,megawatthours,19,6,1,2023
77,2023-01-01 19:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79337,megawatthours,19,6,1,2023
78,2023-01-01 19:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,80264,megawatthours,19,6,1,2023
79,2023-01-01 19:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4205,megawatthours,19,6,1,2023
80,2023-01-01 20:00:00,PJM,"PJM Interconnection, LLC",D,Demand,76223,megawatthours,20,6,1,2023
81,2023-01-01 20:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,80691,megawatthours,20,6,1,2023
82,2023-01-01 20:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,80484,megawatthours,20,6,1,2023
83,2023-01-01 20:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4264,megawatthours,20,6,1,2023
84,2023-01-01 21:00:00,PJM,"PJM Interconnection, LLC",D,Demand,76560,megawatthours,21,6,1,2023
85,2023-01-01 21:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,84270,megawatthours,21,6,1,2023
86,2023-01-01 21:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,80750,megawatthours,21,6,1,2023
87,2023-01-01 21:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4194,megawatthours,21,6,1,2023
88,2023-01-01 22:00:00,PJM,"PJM Interconnection, LLC",D,Demand,78912,megawatthours,22,6,1,2023
89,2023-01-01 22:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,89948,megawatthours,22,6,1,2023
90,2023-01-01 22:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,83483,megawatthours,22,6,1,2023
91,2023-01-01 22:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4574,megawatthours,22,6,1,2023
92,2023-01-01 23:00:00,PJM,"PJM Interconnection, LLC",D,Demand,83490,megawatthours,23,6,1,2023
93,2023-01-01 23:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,90706,megawatthours,23,6,1,2023
94,2023-01-01 23:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,87541,megawatthours,23,6,1,2023
95,2023-01-01 23:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4053,megawatthours,23,6,1,2023
